"""Customer Provided Item"" cannot be Purchase Item also","""Customer Provided Item（客戶提供的物品）"" 也不可被採購",
"""Customer Provided Item"" cannot have Valuation Rate","""Customer Provided Item（客戶提供的物品）"" 不允許擁有 Valuation Rate（估值比率）",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",是固定資產不能被反選，因為存在資產記錄的專案,
'Based On' and 'Group By' can not be same,“根據”和“分組依據”不能相同,
'Days Since Last Order' must be greater than or equal to zero,“ 最後的訂單到目前的天數”必須大於或等於零,
'Entries' cannot be empty,“分錄”不能為空,
'From Date' is required,“起始日期”是必需的,
'From Date' must be after 'To Date',“起始日期”必須早於'終止日期',
'Has Serial No' can not be 'Yes' for non-stock item,不能為非庫存物料勾選'是否有序列號',
'Opening',“開啟”,
'To Case No.' cannot be less than 'From Case No.','結束箱號'不能小於'開始箱號',
'To Date' is required,“結束日期”必需設定,
'Total',&#39;總&#39;,
'Update Stock' can not be checked because items are not delivered via {0},因為物料還未透過{0）交付，“庫存更新'不能被勾選,
'Update Stock' cannot be checked for fixed asset sale,固定資產銷售不能選擇“更新庫存”,
1 exact match.,1完全匹配。,
90-Above,90以上,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,同名的客戶組已經存在，請更改客戶姓名或重新命名該客戶組,
A Default Service Level Agreement already exists.,已存在預設服務級別協議。,
A Lead requires either a person's name or an organization's name,領導者需要一個人的姓名或組織的名稱,
A customer with the same name already exists,已存在同名客戶,
A question must have more than one options,一個問題必須有多個選項,
A qustion must have at least one correct options,Qustion必須至少有一個正確的選項,
A4,A4,
API Endpoint,應用程式介面端點,
API Key,應用程式介面金鑰,
Abbr can not be blank or space,縮寫不能為空或空格,
Abbreviation already used for another company,縮寫已用於另一家公司,
Abbreviation cannot have more than 5 characters,縮寫不能超過5個字元,
Abbreviation is mandatory,縮寫欄位必填,
About the Company,關於公司,
About your company,關於貴公司,
Above,以上,
Academic Term,學期,
Academic Term: ,學術期限：,
Academic Year,學年,
Academic Year: ,學年：,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},已接收+已拒收數量須等於物料{0}的已接收數量,
Access Token,訪問令牌,
Accessable Value,可訪問的值,
Account,科目,
Account Number,帳號,
Account Number {0} already used in account {1},已在帳戶{1}中使用的帳號{0},
Account Pay Only,賬戶僅用於支付,
Account Type,科目型別,
Account Type for {0} must be {1},{0}的科目型別必須為{1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",科目餘額已設定為'貸方'，不能設定為'借方',
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'",賬戶餘額已設定為'借方'，不能設定為'貸方',
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,科目{0}的科目號碼不可用。 <br>請正確設定您的會計科目表。,
Account with child nodes cannot be converted to ledger,科目與子節點不能轉換為分類賬,
Account with child nodes cannot be set as ledger,科目與子節點不能被設定為分類帳,
Account with existing transaction can not be converted to group.,有交易的科目不能被轉換為組。,
Account with existing transaction can not be deleted,有交易的科目不能被刪除,
Account with existing transaction cannot be converted to ledger,有交易的科目不能被轉換為分類賬,
Account {0} does not belong to company: {1},科目{0}不屬於公司：{1},
Account {0} does not belongs to company {1},科目{0}不屬於公司{1},
Account {0} does not exist,科目{0}不存在,
Account {0} does not exists,科目{0}不存在,
Account {0} does not match with Company {1} in Mode of Account: {2},科目{0}與科目模式{2}中的公司{1}不符,
Account {0} has been entered multiple times,科目{0}已多次輸入,
Account {0} is added in the child company {1},子公司{1}中新增了帳戶{0},
Account {0} is frozen,科目{0}已凍結,
Account {0} is invalid. Account Currency must be {1},科目{0}狀態為非啟用。科目貨幣必須是{1},
Account {0}: Parent account {1} can not be a ledger,科目{0}的上級科目{1}不能是分類賬,
Account {0}: Parent account {1} does not belong to company: {2},科目{0}的上級科目{1}不屬於公司{2},
Account {0}: Parent account {1} does not exist,科目{0}的上級科目{1}不存在,
Account {0}: You can not assign itself as parent account,科目{0}不能是自己的上級科目,
Account: {0} can only be updated via Stock Transactions,科目{0}只能透過庫存處理更新,
Account: {0} with currency: {1} can not be selected,帳號：{0}幣種：{1}不能選擇,
Accountant,會計,
Accounting,會計,
Accounting Entry for Asset,資產會計分錄,
Accounting Entry for Stock,庫存的會計分錄,
Accounting Entry for {0}: {1} can only be made in currency: {2},會計分錄為{0}：{1}只能在貨幣做：{2},
Accounting Ledger,會計分類帳,
Accounting journal entries.,會計記賬日曆分錄。,
Accounts,會計,
Accounts Manager,會計經理,
Accounts Payable,應付帳款,
Accounts Payable Summary,應付帳款摘要,
Accounts Receivable,應收帳款,
Accounts Receivable Summary,應收賬款彙總,
Accounts User,會計人員,
Accounts table cannot be blank.,賬表不能為空。,
Accumulated Depreciation,累計折舊,
Accumulated Depreciation Amount,累計折舊額,
Accumulated Depreciation as on,作為累計折舊,
