A4,A4,
API Endpoint,應用程式介面端點,
API Key,應用程式介面金鑰,
Access Token,訪問令牌,
Account,科目,
Accounts Manager,會計經理,
Accounts User,會計人員,
Action,行動,
Actions,操作,
Active,活動,
Add,新增,
Add Row,新增行,
Address,地址,
Address Line 2,地址行2,
Address Title,地址名稱,
Address Type,地址型別,
Administrator,管理員,
All Day,全日,
Allow Delete,允許刪除,
Amended From,修訂源,
Amount,金額,
Applicable For,適用於,
Approval Status,審批狀態,
Assign,分配,
Assign To,分配給,
Attachment,附件,
Attachments,附件,
Author,作者,
Auto Repeat,自動重複,
Base URL,基本網址,
Based On,基於,
Beginner,初學者,
Billing,賬單,
Cancel,取消,
Category,類別,
Category Name,分類名稱,
City,城市,
City/Town,市/鎮,
Client,客戶,
Client ID,客戶端ID,
Client Secret,客戶秘密,
Closed,已關閉,
Code,程式碼,
Collapse All,全部收縮,
Color,顏色,
Company Name,公司名稱,
Condition,條件,
Contact,聯絡人,
Contact Details,聯絡人資訊,
Content,內容,
Content Type,內容型別,
Create,建立,
Created By,建立人,
Current,當前,
Custom HTML,自定義HTML,
Custom?,自定義？,
Date Format,日期格式,
Datetime,時間日期,
Day,天,
Default Letter Head,預設信頭,
Defaults,預設,
Delivery Status,交貨狀態,
Department,部門,
Details,詳細資訊,
Document Name,文件名稱,
Document Status,文件狀態,
Document Type,文件型別,
Domain,領域,
Domains,域,
Draft,草案,
Edit,編輯,
Email Account,郵件帳戶,
Email Address,電子郵箱,
Email ID,電子郵件ID,
Email Sent,郵件已傳送,
Email Template,電子郵件模板,
Enable,啟用,
Enabled,已啟用,
End Date,結束日期,
Error Code: {0},錯誤程式碼:{0},
Error Log,錯誤日誌,
Event,事件,
Expand All,展開全部,
Fail,失敗,
Failed,失敗,
Fax,傳真,
Feedback,反饋,
Female,女,
Field Name,欄位名稱,
Fieldname,欄位名,
Fields,欄位,
First Name,名,
Frequency,頻率,
Friday,星期五,
From,從,
Full,充分,
Full Name,全名,
Further nodes can be only created under 'Group' type nodes,只能在“組”節點下新建節點,
Gender,性別,
GitHub Sync ID,GitHub同步ID,
Guest,訪客,
Half Day,半天,
Half Yearly,半年度,
High,高,
Hourly,每小時,
Hub Sync ID,集線器同步ID,
IP Address,IP地址,
Image,影象,
Image View,影象檢視,
Import Data,匯入資料,
Import Log,匯入日誌,
Inactive,非活動的,
Insert,插入,
Interests,興趣,
Introduction,介紹,
Is Active,是活動的,
Is Completed,完成了,
Is Default,是否預設,
Kanban Board,看板,
Label,標籤,
Language Name,語言名稱,
Last Name,姓,
Leaderboard,管理者看板,
Letter Head,信頭,
Level,級別,
Limit,限制,
Log,日誌,
Logs,日誌,
Low,低,
Maintenance Manager,維護經理,
Maintenance User,維護使用者,
Male,男性,
Mandatory,強制性,
Mapping,對映,
Mapping Type,對映型別,
Medium,中,
Meeting,會議,
Message Examples,訊息示例,
Method,方法,
Middle Name,中間名,
Middle Name (Optional),中間名（可選）,
Monday,星期一,
Monthly,每月,
More,更多,
More Information,更多資訊,
Move,移動,
My Account,我的賬戶,
New Address,新地址,
New Contact,新建聯絡人,
Next,下一個,
No Data,無資料,
No address added yet.,未新增地址。,
No contacts added yet.,暫無聯絡人。,
No items found.,未找到任何專案。,
None,沒有,
Not Permitted,不允許,
Not active,非活動,
Number,數,
Online,線上,
Operation,操作,
Options,選項,
Other,其他,
Owner,業主,
Page Missing or Moved,頁面丟失或已被移動,
Parameter,引數,
Password,密碼,
Period,期,
Pincode,PIN程式碼,
Please enable pop-ups,請啟用彈出視窗,
Please select Company,請選擇公司,
Please select {0},請選擇{0},
Please set Email Address,請設定電子郵件地址,
Portal Settings,入口網站設定,
Preview,預覽,
Primary,初級,
Print Format,列印格式,
Print Settings,列印設定,
Print taxes with zero amount,列印零金額的稅,
Private,私人,
Property,屬性,
Public,公,
Published,釋出時間,
Purchase Manager,採購經理,
Purchase Master Manager,採購方面的主要經理,
Purchase User,購買使用者,
Query Options,查詢選項,
Range,範圍,
Rating,評分,
Received,收到,
Recipients,收件人,
Redirect URL,URL重定向,
Reference,參考,
Reference Date,參考日期,
Reference Document,參考文獻,
Reference Document Type,參考文件型別,
Reference Owner,參考者,
Reference Type,參考型別,
Refresh Token,重新整理令牌,
Region,區域,
Rejected,拒絕,
Reopen,重新開啟,
Replied,回答,
